id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,lat,lon,location
"9993983","HY183640","2015-03-14T00:20:00.000","0000X S KEDZIE AVE","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","STREET","false","false","1124","011","28","27","03","1155056","1899695","2015","2018-02-10T15:50:01.000","41.880573218","-87.706110309","
,  
(41.880573218, -87.706110309)"
"9995212","HY185661","2015-03-15T15:08:00.000","075XX S CLYDE AVE","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","RESIDENCE PORCH/HALLWAY","false","false","0414","004","8","43","03","1191513","1855405","2015","2018-02-10T15:50:01.000","41.758229959","-87.573683349","
,  
(41.758229959, -87.573683349)"
"9996561","HY186740","2015-03-16T00:30:00.000","039XX W 26TH ST","0325","ROBBERY","VEHICULAR HIJACKING","STREET","false","false","1013","010","22","30","03","1150710","1886438","2015","2018-02-10T15:50:01.000","41.844280497","-87.72241492","
,  
(41.844280497, -87.72241492)"
"9998378","HY188524","2015-03-17T18:40:00.000","003XX S KILBOURN AVE","0325","ROBBERY","VEHICULAR HIJACKING","STREET","false","false","1131","011","24","26","03","1146450","1897870","2015","2018-02-10T15:50:01.000","41.875733447","-87.73775753","
,  
(41.875733447, -87.73775753)"
"9998501","HY188679","2015-03-17T19:30:00.000","006XX S INDEPENDENCE BLVD","0325","ROBBERY","VEHICULAR HIJACKING","STREET","false","false","1133","011","24","26","03","1151195","1897012","2015","2018-02-10T15:50:01.000","41.873287328","-87.720357997","
,  
(41.873287328, -87.720357997)"
"9998521","HY188695","2015-03-16T23:30:00.000","045XX S CHRISTIANA AVE","0325","ROBBERY","VEHICULAR HIJACKING","STREET","false","false","0821","008","14","58","03","1154794","1874394","2015","2018-02-10T15:50:01.000","41.811149535","-87.707749093","
,  
(41.811149535, -87.707749093)"
"9999826","HY189656","2015-03-18T17:07:00.000","018XX W TAYLOR ST","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","STREET","false","false","1231","012","2","28","03","1164253","1895610","2015","2018-02-10T15:50:01.000","41.869174219","-87.672455271","
,  
(41.869174219, -87.672455271)"
"11184822","JA558872","2017-12-22T00:45:00.000","137XX S INDIANA AVE","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","STREET","false","false","0533","005","9","54","03","1179972","1814476","2017","2018-05-04T15:51:04.000","41.646187093","-87.61722683","
,  
(41.646187093, -87.61722683)"
"10558783","HZ304813","2016-06-12T20:15:00.000","009XX N AUSTIN BLVD","0325","ROBBERY","VEHICULAR HIJACKING","STREET","false","false","1511","015","29","25","03","1136198","1905618","2016","2018-02-10T15:50:01.000","41.897184027","-87.77521464","
,  
(41.897184027, -87.77521464)"
"12824753","JF392992","2022-09-12T01:30:00.000","004XX E 46TH ST","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","STREET","false","false","0221","002","3","38","03","1179948","1874615","2022","2022-10-25T16:46:49.000","41.81121646","-87.61547973","
,  
(41.81121646, -87.61547973)"
"12480244","JE370839","2021-09-12T14:22:00.000","058XX S PULASKI RD","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","STREET","false","false","0822","008","13","62","03","1150700","1865604","2021","2022-10-13T16:44:36.000","41.787109268","-87.722994671","
,  
(41.787109268, -87.722994671)"
"12614755","JF140349","2022-02-10T16:34:00.000","048XX S LAKE PARK AVE","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","APARTMENT","false","false","0222","002","4","39","03","1186842","1873319","2022","2022-10-25T16:46:49.000","41.807499342","-87.590234482","
,  
(41.807499342, -87.590234482)"
"12623394","JF151038","2022-02-21T00:00:00.000","0000X E GRAND AVE","0325","ROBBERY","VEHICULAR HIJACKING","STREET","false","false","1834","018","42","8","03","1176367","1903908","2022","2022-10-25T16:46:49.000","41.891679873","-87.627731607","
,  
(41.891679873, -87.627731607)"
"12628465","JF157195","2022-02-26T21:39:00.000","018XX S WENTWORTH AVE","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","PARKING LOT / GARAGE (NON RESIDENTIAL)","false","false","0914","009","25","34","03","1175338","1891420","2022","2022-10-25T16:46:49.000","41.857435181","-87.631885417","
,  
(41.857435181, -87.631885417)"
"12641550","JF173026","2022-03-13T09:30:00.000","065XX S DR MARTIN LUTHER KING JR DR","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","STREET","false","false","0312","003","20","69","03","1180043","1861837","2022","2022-10-25T16:46:49.000","41.776150283","-87.615522623","
,  
(41.776150283, -87.615522623)"
"12646646","JF179025","2022-03-19T04:45:00.000","015XX S DRAKE AVE","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","STREET","false","false","1021","010","24","29","03","1152953","1892313","2022","2022-10-25T16:46:49.000","41.860358116","-87.714027937","
,  
(41.860358116, -87.714027937)"
"12649204","JF182137","2022-03-22T00:00:00.000","007XX N MILWAUKEE AVE","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","STREET","false","false","1214","012","27","24","03","1169205","1905181","2022","2022-10-25T16:46:49.000","41.895331673","-87.653997157","
,  
(41.895331673, -87.653997157)"
"12649174","JF182070","2022-03-21T21:50:00.000","042XX W CORTEZ ST","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","STREET","false","false","1111","011","37","23","03","1147824","1906660","2022","2022-10-25T16:46:49.000","41.89982791","-87.732486678","
,  
(41.89982791, -87.732486678)"
"12650116","JF183202","2022-03-22T19:12:00.000","068XX S DORCHESTER AVE","0325","ROBBERY","VEHICULAR HIJACKING","APARTMENT","false","false","0321","003","5","43","03","1186716","1860008","2022","2022-10-25T16:46:49.000","41.770975901","-87.591118073","
,  
(41.770975901, -87.591118073)"
"12671005","JF208218","2022-04-14T20:45:00.000","103XX S COTTAGE GROVE AVE","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","GAS STATION","false","false","0512","005","9","50","03","1182698","1836734","2022","2022-10-25T16:46:49.000","41.707203646","-87.606566877","
,  
(41.707203646, -87.606566877)"
