id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,Lat,Lon,location,geometry,index_right,pri_neigh,sec_neigh,shape_area,shape_len
12278742,JE123432,2021-01-26 02:04:00,026XX E 91ST ST,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,423,4,7,48,3,1195178.0,1845134.0,2021,2021-02-02T15:48:32.000,41.729955911,-87.56058977,"
,  
(41.729955911, -87.56058977)",POINT (-87.56058977 41.729955911),14.0,Calumet Heights,"AVALON PARK,CALUMET HEIGHTS",48826241.5643,32925.365871
12284588,JE130796,2021-02-02 21:52:00,050XX N SAWYER AVE,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,SIDEWALK,False,False,1713,17,33,14,3,1153800.0,1933335.0,2021,2021-02-09T15:47:29.000,41.972909195,-87.709824032,"
,  
(41.972909195, -87.709824032)",POINT (-87.709824032 41.972909195),52.0,Albany Park,"NORTH PARK,ALBANY PARK",53542230.819,39339.016439
12280000,JE125050,2021-01-27 19:20:00,011XX E 47TH ST,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,GAS STATION,False,False,222,2,4,39,3,1184735.0,1874077.0,2021,2021-02-03T15:58:22.000,41.809629081,-87.597938463,"
,  
(41.809629081, -87.597938463)",POINT (-87.597938463 41.809629081),47.0,Kenwood,"KENWOOD,OAKLAND",29071741.9283,23325.167906
12279974,JE125006,2021-01-27 18:30:00,039XX W ADAMS ST,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,1122,11,28,26,3,1150260.0,1898724.0,2021,2021-02-03T15:58:22.000,41.87800352,-87.723746226,"
,  
(41.87800352, -87.723746226)",POINT (-87.723746226 41.87800352),5.0,Garfield Park,GARFIELD PARK,89976069.5947,44460.91922
12278366,JE122917,2021-01-25 13:01:00,038XX W ARTHINGTON ST,325,ROBBERY,VEHICULAR HIJACKING,STREET,False,False,1133,11,24,26,3,1150986.0,1895762.0,2021,2021-02-05T15:45:16.000,41.86986128,-87.721158075,"
,  
(41.86986128, -87.721158075)",POINT (-87.721158075 41.86986128),5.0,Garfield Park,GARFIELD PARK,89976069.5947,44460.91922
12284557,JE130733,2021-02-02 19:40:00,008XX W WILLOW ST,325,ROBBERY,VEHICULAR HIJACKING,STREET,False,False,1813,18,43,7,3,1170603.0,1911931.0,2021,2021-02-09T15:47:29.000,41.913823574,-87.648664814,"
,  
(41.913823574, -87.648664814)",POINT (-87.648664814 41.913823574),35.0,Lincoln Park,LINCOLN PARK,67401451.3717,61856.516472
12280841,JE126098,2021-01-28 21:00:00,029XX N BROADWAY,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,1934,19,44,6,3,1171737.0,1919987.0,2021,2021-02-04T15:52:02.000,41.935904688,-87.644260907,"
,  
(41.935904688, -87.644260907)",POINT (-87.644260907 41.935904688),34.0,Lake View,LAKE VIEW,76561177.2562,69715.29313
12280936,JE126190,2021-01-28 23:38:00,012XX W THORNDALE AVE,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,2013,20,48,77,3,1167128.0,1939660.0,2021,2021-02-04T15:52:02.000,41.989988529,-87.660631644,"
,  
(41.989988529, -87.660631644)",POINT (-87.660631644 41.989988529),33.0,Edgewater,EDGEWATER,38865397.6718,31012.83416
12280865,JE126136,2021-01-28 22:10:00,015XX N WICKER PARK AVE,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,1424,14,1,24,3,1163002.0,1909920.0,2021,2021-02-04T15:52:02.000,41.908468358,-87.676645953,"
,  
(41.908468358, -87.676645953)",POINT (-87.676645953 41.908468358),88.0,Wicker Park,"WICKER PARK,WEST TOWN",26853193.0926,21992.660946
12280804,JE126061,2021-01-28 20:00:00,052XX N LAKEWOOD AVE,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,2013,20,48,77,3,1166695.0,1934883.0,2021,2021-02-04T15:52:02.000,41.97688963,-87.662361938,"
,  
(41.97688963, -87.662361938)",POINT (-87.662361938 41.97688963),42.0,Andersonville,ANDERSONVILLE,9584592.89906,12534.092625
12280867,JE126140,2021-01-28 22:04:00,021XX W EVERGREEN AVE,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,1424,14,2,24,3,1161989.0,1908999.0,2021,2021-02-04T15:52:02.000,41.905962286,-87.680392966,"
,  
(41.905962286, -87.680392966)",POINT (-87.680392966 41.905962286),88.0,Wicker Park,"WICKER PARK,WEST TOWN",26853193.0926,21992.660946
12280084,JE125212,2021-01-28 00:50:00,001XX N KOSTNER AVE,325,ROBBERY,VEHICULAR HIJACKING,SIDEWALK,False,False,1113,11,28,26,3,1147041.0,1900266.0,2021,2021-02-04T15:52:02.000,41.882297077,-87.735526297,"
,  
(41.882297077, -87.735526297)",POINT (-87.735526297 41.882297077),5.0,Garfield Park,GARFIELD PARK,89976069.5947,44460.91922
12280852,JE126135,2021-01-28 21:23:00,047XX W PATTERSON AVE,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,RESIDENCE - GARAGE,False,False,1731,17,30,15,3,1144181.0,1923844.0,2021,2021-02-04T15:52:02.000,41.947051765,-87.745434881,"
,  
(41.947051765, -87.745434881)",POINT (-87.745434881 41.947051765),44.0,Portage Park,PORTAGE PARK,110196097.139,46520.642138
12280925,JE126189,2021-01-28 23:38:00,012XX W THORNDALE AVE,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,2013,20,48,77,3,1167128.0,1939660.0,2021,2021-02-04T15:52:02.000,41.989988529,-87.660631644,"
,  
(41.989988529, -87.660631644)",POINT (-87.660631644 41.989988529),33.0,Edgewater,EDGEWATER,38865397.6718,31012.83416
12284825,JE124199,2021-01-26 22:00:00,009XX W WASHINGTON BLVD,325,ROBBERY,VEHICULAR HIJACKING,STREET,False,False,1224,12,25,28,3,1169995.0,1900722.0,2021,2021-02-05T15:45:16.000,41.883078679,-87.651225883,"
,  
(41.883078679, -87.651225883)",POINT (-87.651225883 41.883078679),40.0,West Loop,WEST LOOP,52945063.8967,43907.671821
